aktuelBasinc,denizSicaklik,denizeIndirgenmisBasinc,gorus,hadiseKodu,istNo,kapalilik,karYukseklik,nem,rasatMetar,rasatSinoptik,rasatTaf,ruzgarHiz,ruzgarYon,sicaklik,veriZamani,yagis00Now,yagis10Dk,yagis12Saat,yagis1Saat,yagis24Saat,yagis6Saat,denizVeriZamani
1002.6,-9999,1010.9,15960,A,17066,-9999,-9999,82,-9999,-9999,-9999,3.24,321,25.7,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1006.8,-9999,1010.1,31930,A,17069,-9999,-9999,78,-9999,-9999,-9999,1.8,333,26,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
928.6,-9999,1009.8,44660,A,17070,-9999,-9999,85,-9999,-9999,-9999,0,0,18.5,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
995.5,-9999,1011.8,-9999,A,17072,-9999,-9999,68,-9999,-9999,-9999,0,0,23.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
921.6,-9999,1007.8,20000,A,17074,0,-9999,90,-9999,-9999,-9999,6.12,232,21.3,2024-07-17T18:23:00.000Z,0,-9999,0,-9999,0,0,2024-07-17T06:00:00.000Z
-9999,-9999,-9999,64,A,17078,-9999,-9999,72,-9999,-9999,-9999,2.16,21,22.5,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
925.3,-9999,1006.9,-9999,CB,17080,-9999,-9999,65,-9999,-9999,-9999,7.920000000000001,326,24.1,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
923.8,-9999,1008.1,21790,A,17084,-9999,-9999,87,-9999,-9999,-9999,2.8800000000000003,317,20,2024-07-17T22:57:00.000Z,0.8,0,0.8,0,0.8,0,2024-07-17T06:00:00.000Z
962.6,-9999,1007.4,39790,CB,17085,-9999,-9999,71,-9999,-9999,-9999,2.8800000000000003,307,24,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.4,-9999,1006.8,40050,AB,17086,-9999,-9999,74,-9999,-9999,-9999,4.680000000000001,103,22.6,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
878.8,-9999,1008.1,35360,AB,17088,-9999,-9999,90,-9999,-9999,-9999,4.680000000000001,94,17.3,2024-07-17T22:58:00.000Z,8.4,0,0.3,0,8.4,0,2024-07-17T06:00:00.000Z
840.9,-9999,1004.7,39350,CB,17089,-9999,-9999,80,-9999,-9999,-9999,4.32,323,16.9,2024-07-17T22:58:00.000Z,0.3,0,0.3,0,0.3,0.3,2024-07-17T06:00:00.000Z
870.4,-9999,1007.4,39840,A,17090,-9999,-9999,91,-9999,-9999,-9999,0,0,18.8,2024-07-17T22:58:00.000Z,19,0,19,0,19,2.4,2024-07-17T22:58:00.000Z
876.2,-9999,1003.3,-9999,CB,17094,-9999,-9999,52,-9999,-9999,-9999,0,0,22.6,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
813.8,-9999,1004.7,28810,CB,17095,-9999,-9999,89,-9999,-9999,-9999,1.08,118,13.8,2024-07-17T22:57:00.000Z,10.75,0,10.75,0,10.75,1.22,2024-07-17T06:00:00.000Z
823.6,-9999,1008.2,24060,CB,17097,-9999,-9999,95,-9999,-9999,-9999,0,0,13.9,2024-07-17T22:57:00.000Z,11.1,0,11.1,0,11.1,5.6,2024-07-17T22:57:00.000Z
834.5,-9999,1003.2,-9999,CB,17099,-9999,-9999,73,-9999,-9999,-9999,2.52,327,17.8,2024-07-17T22:58:00.000Z,0.77,0,0.77,0,0.77,0.77,2024-07-17T06:00:00.000Z
915,-9999,1005.9,-9999,CB,17100,-9999,-9999,60,-9999,-9999,-9999,7.5600000000000005,298,23.3,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1010.4,24.4,1011,47280,A,17112,-9999,-9999,52,-9999,-9999,-9999,3.6,78,28.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
999.4,-9999,1010.5,20000,A,17116,0,-9999,59,-9999,-9999,-9999,0,339,24.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1012.6,-9999,1013,-9999,A,17119,-9999,-9999,83,-9999,-9999,-9999,6.12,15,25.7,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
950.1,-9999,1009.1,-9999,A,17120,-9999,-9999,59,-9999,-9999,-9999,3.6,285,22.5,2024-07-17T22:59:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
922.1,-9999,1008.6,-9999,A,17126,-9999,-9999,62,-9999,-9999,-9999,5.04,271,21.8,2024-07-17T22:56:00.000Z,0,0,0,0,0,0,2024-07-17T22:56:00.000Z
911.4,-9999,1007.9,20000,A,17130,0,-9999,71,-9999,-9999,-9999,3.6,21,19.9,2024-07-17T22:57:00.000Z,0.96,0,0.86,0,0.96,0,2024-07-17T06:00:00.000Z
925.8,-9999,1006.7,40680,A,17135,-9999,-9999,51,-9999,-9999,-9999,6.84,48,23.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
869.1,-9999,1007.7,22240,A,17140,-9999,-9999,99,-9999,-9999,-9999,0,0,17.2,2024-07-17T22:57:00.000Z,34.4,0,34.4,0,34.4,0,2024-07-17T06:00:00.000Z
904.5,-9999,1008.2,-9999,A,17155,-9999,-9999,60,-9999,-9999,-9999,3.9600000000000004,288,21.4,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
898.9,-9999,1007.3,38020,A,17160,-9999,-9999,65,-9999,-9999,-9999,7.2,356,19.4,2024-07-17T22:57:00.000Z,0.79,0,0.4,0,0.79,0,2024-07-17T06:00:00.000Z
897.3,-9999,999.4,-9999,CB,17165,-9999,-9999,36,-9999,-9999,-9999,8.64,9,27,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
830.2,-9999,1000.1,-9999,CB,17172,-9999,-9999,47,-9999,-9999,-9999,4.680000000000001,143,21,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
1000.8,-9999,1008.6,19770,CB,17186,-9999,-9999,42,-9999,-9999,-9999,6.12,59,31.4,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
908.6,-9999,1005.5,-9999,A,17188,-9999,-9999,59,-9999,-9999,-9999,0,0,21.5,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
897,-9999,1006.7,20000,AB,17190,2,-9999,55,-9999,-9999,-9999,1.8,324,21.9,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
903.7,-9999,1006.5,19170,CB,17192,-9999,-9999,49,-9999,-9999,-9999,5.4,76,23.1,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
874,-9999,1006.2,-9999,A,17193,-9999,-9999,61,-9999,-9999,-9999,2.16,181,19.6,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
889.6,-9999,1004.7,39560,A,17196,-9999,-9999,60,-9999,-9999,-9999,2.16,209,20.8,2024-07-17T22:58:00.000Z,0.1,0,0.1,0,0.1,0.1,2024-07-17T22:58:00.000Z
901.7,-9999,1001.1,-9999,CB,17199,-9999,-9999,46,-9999,-9999,-9999,6.48,188,26,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
897.2,-9999,999.9,43660,CB,17201,-9999,-9999,42,-9999,-9999,-9999,6.84,346,25,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
882.1,-9999,999.9,-9999,CB,17203,-9999,-9999,44,-9999,-9999,-9999,1.8,261,24.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
865.1,-9999,1000.8,48050,CB,17204,-9999,-9999,47,-9999,-9999,-9999,2.52,194,22.7,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
818.7,-9999,998.1,39550,A,17208,-9999,-9999,47,-9999,-9999,-9999,0,0,19.5,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
905.3,-9999,998.2,-9999,A,17210,-9999,-9999,24,-9999,-9999,-9999,0,0,28.3,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1004.6,28.4,1007.1,20000,A,17220,0,-9999,39,-9999,-9999,-9999,6.48,322,31.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1000.4,-9999,1006.5,32400,A,17234,-9999,-9999,49,-9999,-9999,-9999,2.16,89,29,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
960.6,-9999,1006.3,20000,A,17237,0,-9999,42,-9999,-9999,-9999,1.4400000000000002,225,29.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
903.1,-9999,1003.3,-9999,A,17238,-9999,-9999,43,-9999,-9999,-9999,3.24,57,24.3,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
900.5,-9999,1004.9,20000,A,17240,0,-9999,56,-9999,-9999,-9999,3.9600000000000004,295,24.3,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
897.5,-9999,1006.5,-9999,A,17245,-9999,-9999,52,-9999,-9999,-9999,1.4400000000000002,329,22.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
897.7,-9999,1004.9,20000,CB,17246,5,-9999,56,-9999,-9999,-9999,4.32,295,22.9,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
877.8,-9999,1004.2,15710,A,17250,-9999,-9999,58,-9999,-9999,-9999,6.48,37,20.3,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940,-9999,1001.5,-9999,A,17255,-9999,-9999,65,-9999,-9999,-9999,13.68,77,26.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
910.2,-9999,999.7,17940,A,17261,-9999,-9999,45,-9999,-9999,-9999,5.4,287,27.7,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
932.7,-9999,1001.1,28390,A,17262,-9999,-9999,67,-9999,-9999,-9999,11.879999999999999,291,26.3,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
928.7,-9999,999.1,40710,CB,17265,-9999,-9999,26,-9999,-9999,-9999,3.9600000000000004,211,32.8,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
940.6,-9999,998.7,-9999,A,17270,-9999,-9999,39,-9999,-9999,-9999,12.6,258,31.4,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
890.8,-9999,998.4,17400,A,17275,-9999,-9999,23,-9999,-9999,-9999,1.4400000000000002,24,29.4,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
927,-9999,998.6,-9999,CB,17281,-9999,-9999,33,-9999,-9999,-9999,1.8,300,30.7,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
934.4,-9999,998.7,46580,A,17282,-9999,-9999,38,-9999,-9999,-9999,0,0,24.3,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
824.2,-9999,997,22910,CB,17285,-9999,-9999,32,-9999,-9999,-9999,4.680000000000001,332,23.2,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
868.9,-9999,999.9,-9999,A,17287,-9999,-9999,22,-9999,-9999,-9999,2.8800000000000003,2,26.9,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
935.2,-9999,1004.6,38270,A,17292,-9999,-9999,67,-9999,-9999,-9999,0,0,23.4,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
999.7,30,1004.9,20000,A,17302,0,-9999,82,-9999,-9999,-9999,0,0,28,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
1004.9,30,1005.6,20000,CB,17340,5,-9999,85,-9999,-9999,-9999,5.04,208,30,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
994.7,-9999,1005.1,17530,CB,17355,-9999,-9999,89,-9999,-9999,-9999,0,0,27.5,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T06:00:00.000Z
987.1,-9999,1004.6,-9999,A,17372,-9999,-9999,83,-9999,-9999,-9999,13.68,180,26.6,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
997.7,-9999,1009.9,-9999,A,18433,-9999,-9999,51,-9999,-9999,-9999,14.4,338,27.4,2024-07-17T22:58:00.000Z,0,0,0,0,0,0,2024-07-17T22:58:00.000Z
-9999,-9999,-9999,10,CB,19272,-9999,-9999,100,-9999,-9999,-9999,3.6,138,27.9,2024-07-17T22:57:00.000Z,0,0,0,0,0,0,2024-07-17T22:57:00.000Z
